brief_id,brief,rank_1,rank_2,rank_3,rank_4,rank_5
1,Write a tagline for a new premium electric vehicle that emphasizes sustainability and luxury.,1,2,3,4,5
2,Create a tagline for a fitness app that focuses on personalized workouts and mental wellbeing.,1,2,3,4,5
3,Develop a tagline for a plant-based food brand that highlights taste and environmental benefits.,1,2,3,4,5
4,Write a tagline for a travel booking platform that specializes in sustainable tourism.,1,2,3,4,5
5,Create a tagline for a new streaming service that focuses on independent films and documentaries.,1,2,3,4,5
6,Develop a tagline for a smart home security system that emphasizes ease of use and peace of mind.,1,2,3,4,5
7,Write a tagline for a premium coffee subscription service that delivers globally sourced beans.,1,2,3,4,5
8,Create a tagline for a skincare brand that uses only natural ethically sourced ingredients.,1,2,3,4,5
9,Develop a tagline for a financial app that helps young people save and invest money.,1,2,3,4,5
10,Write a tagline for a new co-working space designed for creative professionals.,1,2,3,4,5
11,Create a tagline for an online education platform specializing in creative skills.,1,2,3,4,5
12,Develop a tagline for an energy drink targeting professionals who need sustained focus.,1,2,3,4,5
